USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,combine_USAF_WBAN
720603,99999,CAMDEN/WOODWARD FLD,US,SC,KCDN,+34.283,-080.567,+0092.0,20090105,20180410,72060399999
720604,00196,WILLIAMSBURG REGIONAL AIRPORT,US,SC,KCKI,+33.717,-079.850,+0020.1,20150227,20180620,72060400196
720604,99999,KINGSTREE/WILLIAMSBURG RGNL,US,SC,KCKI,+33.717,-079.857,+0020.4,20090105,20171006,72060499999
720605,00197,CHERAW MUNICIPAL LYNCH BELLINGER FIELD,US,SC,KCQW,+34.717,-079.950,+0073.2,20160917,20180604,72060500197
720605,99999,CHERAW,US,SC,KCQW,+34.717,-079.950,+0073.0,20090105,20180515,72060599999
720606,00198,CHARLESTON EXECUTIVE AIRPORT,US,SC,KJZI,+32.701,-080.003,+0005.2,20130101,20180620,72060600198
720606,99999,CHARLESTON EXECUTIVE,US,SC,KJZI,+32.701,-080.003,+0005.2,20090105,20180322,72060699999
720607,00199,LANCASTER COUNTY MC WHIRTER FIELD AIRPORT,US,SC,KLKR,+34.717,-080.850,+0148.1,20170918,20180605,72060700199
720607,99999,LANCASTER CO MC WHIRTER FLD,US,SC,KLKR,+34.723,-080.855,+0148.1,20090105,20180515,72060799999
720608,00200,MARION COUNTY AIRPORT,US,SC,KMAO,+34.181,-079.335,+0028.0,20130101,20180620,72060800200
720608,99999,MARION CO,US,SC,KMAO,+34.181,-079.335,+0028.0,20090105,20180514,72060899999
720609,00201,LOWCOUNTRY REGIONAL AIRPORT,US,SC,KRBW,+32.917,-080.633,+0031.1,20130101,20180620,72060900201
720609,99999,WALTERBORO/LOWCOUNTRY RGNL,US,SC,KRBW,+32.921,-080.641,+0029.9,20090105,20170918,72060999999
720611,00202,SUMTER AIRPORT,US,SC,KSMS,+34.000,-080.367,+0055.2,20150224,20180620,72061100202
720611,99999,SUMTER,US,SC,KSMS,+34.000,-080.367,+0055.5,20090105,20180515,72061199999
720612,00203,BEAUFORT COUNTY AIRPORT,US,SC,KARW,+32.412,-080.634,+0038.1,20130101,20180620,72061200203
720612,99999,BEAUFORT,US,SC,KARW,+32.400,-080.633,+0003.0,20090120,20180322,72061299999
720613,00204,CONWAY HORRY COUNTY AIRPORT,US,SC,KHYW,+33.828,-079.122,+0010.1,20130101,20180620,72061300204
720613,99999,CONWAY HORRY CO,US,SC,KHYW,+33.829,-079.122,+0010.4,20090601,20180520,72061399999
720623,99999,ELIZABETHTON MUNI,US,TN,,+36.371,-082.173,+0485.5,20090325,20130430,72062399999
720631,00217,MARLBORO COUNTY JETPORT H E AVENT FIELD,US,SC,KBBP,+34.617,-079.733,+0045.1,20150317,20180620,72063100217
720631,99999,MARLBORO CO JETPORT H E AVENT,US,SC,KBBP,+34.622,-079.734,+0044.8,20090403,20180515,72063199999
720632,00218,SUMMERVILLE AIRPORT,US,SC,KDYB,+33.063,-080.279,+0017.1,20150224,20180620,72063200218
720632,99999,SUMMERVILLE,US,SC,KDYB,+33.063,-080.279,+0017.1,20090404,20180515,72063299999
720633,00219,HARTSVILLE REGIONAL AIRPORT,US,SC,KHVS,+34.400,-080.117,+0111.3,20130101,20180620,72063300219
720633,99999,HARTSVILLE RGNL,US,SC,KHVS,+34.403,-080.119,+0110.9,20090403,20180514,72063399999
720634,00220,FAIRFIELD COUNTY AIRPORT,US,SC,KFDW,+34.315,-081.109,+0176.2,20150227,20180620,72063400220
720634,99999,FAIRFIELD CO/WINNSBORO,US,SC,KFDW,+34.315,-081.109,+0175.9,20090421,20180322,72063499999
720671,00248,JESUP WAYNE COUNTY AIRPORT,US,GA,KJES,+31.554,-081.883,+0033.2,20151209,20180620,72067100248
720671,99999,JESUP WAYNE CO,US,GA,KJES,+31.554,-081.883,+0032.9,20100111,20180520,72067199999
720674,00249,WEST GEORGIA REGIONAL AIRPORT O V GRAY FIELD,US,GA,KCTJ,+33.633,-085.150,+0354.2,20130101,20180620,72067400249
720674,99999,WEST GEORGIA RGNL O V GRAY FLD,US,GA,KCTJ,+33.631,-085.152,+0353.9,20100129,20180515,72067499999
720712,00250,HENRY TIFT MYERS AIRPORT,US,GA,KTMA,+31.429,-083.489,+0108.2,20130101,20180620,72071200250
720714,00252,PAULDING NORTHWEST ATLANTA AIRPORT,US,GA,KPUJ,+33.912,-084.941,+0393.2,20170308,20180620,72071400252
720714,99999,PAULDING COUNTY AIRPORT,US,GA,KPUJ,+33.912,-084.941,+0393.0,20100425,20180522,72071499999
720716,99999,LURAY CAVERNS,US,VA,KW45,+38.667,-078.501,+0274.9,20100429,20130430,72071699999
720738,00267,THOMASVILLE REGIONAL AIRPORT,US,GA,KTVI,+30.902,-083.881,+0080.2,19440216,20180620,72073800267
720738,99999,THOMASVILLE RGNL,US,GA,KTVI,+30.902,-083.881,+0080.5,20100621,20180515,72073899999
720744,00271,PICKENS COUNTY AIRPORT,US,SC,KLQK,+34.817,-082.700,+0309.1,20130101,20180620,72074400271
720744,99999,PICKENS CO AIRPORT,US,SC,KLQK,+34.810,-082.703,+0308.8,20100719,20180322,72074499999
720746,99999,COVINGTON MUNI,US,GA,,+33.632,-083.850,+0242.3,20100901,20130430,72074699999
720768,00274,LEE COUNTY AIRPORT,US,VA,K0VG,+36.654,-083.218,+0430.1,20130101,20180620,72076800274
720768,99999,LEE CO,US,VA,K0VG,+36.654,-083.218,+0430.1,20100921,20180515,72076899999
720775,99999,ELLINGTON,US,TN,KLUG,+35.507,-086.804,+0218.5,20180403,20180619,72077599999
720777,99999,LAWRENCEVILLE BRUNSWICK MUNI,US,VA,KLVL,+36.773,-077.794,+0100.3,20140625,20180619,72077799999
720897,99999,MONROE WALTON CO,US,GA,KD73,+33.782,-083.693,+0264.3,20170817,20180619,72089799999
720907,99999,CAMPBELL CO,US,TN,KJAU,+36.335,-084.162,+0359.7,20150608,20180619,72090799999
720948,00328,JIMMY CARTER REGIONAL AIRPORT,US,GA,KACJ,+32.110,-084.189,+0142.7,20130101,20180620,72094800328
720948,99999,SOUTHER FLD,US,GA,KACJ,+32.111,-084.189,+0143.6,20110711,20180516,72094899999
720951,00330,EAST GEORGIA REGIONAL AIRPORT,US,GA,KSBO,+32.609,-082.370,+0100.3,20151209,20180620,72095100330
720951,99999,EMANUEL CO,US,GA,KSBO,+32.609,-082.370,+0100.0,20110704,20180516,72095199999
720959,99999,BUTLER MUNI,US,GA,,+32.568,-084.251,+0203.3,20111021,20121031,72095999999
720962,00337,HEART OF GEORGIA REGIONAL AIRPORT,US,GA,KEZM,+32.214,-083.128,+0093.3,20130101,20180620,72096200337
720962,99999,HEART OF GEORGIA RGNL,US,GA,KEZM,+32.214,-083.128,+0092.7,20111021,20180520,72096299999
720966,00339,GRIFFIN SPALDING COUNTY AIRPORT,US,GA,K6A2,+33.227,-084.275,+0292.3,20130101,20180620,72096600339
720966,99999,GRIFFIN SPALDING CO,US,GA,K6A2,+33.227,-084.275,+0292.0,20111118,20180303,72096699999
720974,00344,WINCHESTER MUNICIPAL AIRPORT,US,TN,KBGF,+35.178,-086.066,+0298.1,20130101,20180620,72097400344
720974,99999,WINCHESTER MUNI,US,TN,KBGF,+35.178,-086.066,+0298.4,20120209,20180516,72097499999
721031,00348,TULLAHOMA REGIONAL AIRPORT WILLIAM NORTHERN FIELD,US,TN,KTHA,+35.380,-086.246,+0330.1,20130101,20180620,72103100348
721031,99999,TULLAHOMA RGNL WM NORTHERN FLD,US,TN,KTHA,+35.380,-086.246,+0329.8,20120408,20180515,72103199999
721033,00350,FITZGERALD MUNICIPAL AIRPORT,US,GA,KFZG,+31.684,-083.270,+0111.3,20130101,20180620,72103300350
721033,99999,FITZGERALD MUNI,US,GA,KFZG,+31.684,-083.270,+0111.3,20120620,20180515,72103399999
